,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,127,helpful,c4-7100-025164,0,1,20.628400802612305,0.014012267,0.9859877,http://m.greenmedinfo.com/article/aromatherapy-massage-and-reflexology-can-be-used-help-manage-pain-and-fatigue-
1,127,helpful,c4-2948-049496,0,1,20.377899169921875,0.01834441,0.98165554,https://www.ncbi.nlm.nih.gov/pubmed/27091583
2,127,helpful,c4-6642-056423,0,1,20.35770034790039,0.013691377,0.98630863,http://www.lothianreflexology.co.uk/blog/reflexology-can-help-decrease-the-pain-of-rheumatoid-arthritis
3,127,helpful,c4-0275-092757,0,1,20.33839988708496,0.0046469513,0.9953531,https://www.reviveholisticbeauty.com/blog?year=2018&month=06
4,127,helpful,c4-5076-112759,0,1,20.22760009765625,0.03253098,0.9674691,http://mahaaushadhi.com/info/ayurveda/massage/index.html
5,127,helpful,c4-3987-049413,0,1,20.181800842285156,0.0068339803,0.993166,https://westcoastaromatherapy.com/articles/arthritis/
6,127,helpful,c4-0409-049828,0,1,20.173599243164062,0.00332557,0.9966744,http://ashburtonhaven.co.uk/conditions/arthritis.php
7,127,helpful,c4-3199-015651,0,1,20.120500564575195,0.19908468,0.80091536,http://mahaaushadhi.com/sitemap.html
8,127,helpful,c4-2916-039636,0,1,19.97050094604492,0.004883739,0.99511623,https://ainfo.co.uk/arthritis-rheumatism-massage-oil-250ml-rheumatoid-arthritis-arthritis/
9,127,helpful,c4-2089-122043,0,1,19.866100311279297,0.0057924264,0.9942076,http://www.aromatherapy-at-home.com/aromatherapy-for-arthritis.html
10,127,helpful,c4-2956-025466,0,1,19.792699813842773,0.0092592295,0.9907408,https://ca.marketmso.com/natural-remedies-guide/
11,127,helpful,c4-6040-030427,0,1,19.70210075378418,0.0079780705,0.9920219,https://www.everydayhealth.com/news/strategies-relieve-arthritis-pain-from-those-who-know/
12,127,helpful,c4-1080-008311,0,1,19.670799255371097,0.009655793,0.9903442,https://www.aromahut.com/arthritis-essential-oils/
13,127,helpful,c4-5447-144245,0,1,19.62339973449707,0.005142408,0.99485755,https://carlagreenyl.ca/natural-remedies-guide/
14,127,helpful,c4-4979-109069,0,1,19.523099899291992,0.0064986767,0.99350137,https://www.medicalnewstoday.com/articles/321853.php
15,127,helpful,c4-3748-042700,0,1,19.394800186157227,0.06965477,0.9303452,https://www.webmd.com/rheumatoid-arthritis/guide/rheumatoid-arthritis-natural-treatments
16,127,helpful,c4-2282-027796,0,1,19.391199111938477,0.239545,0.760455,https://www.therapies.com/rheumatoid-arthritis.html
17,127,helpful,c4-2665-004087,0,1,19.372900009155273,0.016526317,0.9834737,http://www.safealternativemedicine.co.uk/ArthritisFaxSeed.html
18,127,helpful,c4-1129-018427,0,1,19.36520004272461,0.004927841,0.9950722,http://healthcave.com/natural-home-remedies-for-juvenile-rheumatoid-arthritis/
19,127,helpful,c4-1460-004237,0,1,19.276199340820312,0.040947285,0.95905274,http://blog.arthritis.org/living-with-arthritis/essential-oils-symptom-relief/
20,127,helpful,c4-4951-146335,0,1,19.26499938964844,0.029632006,0.97036797,https://inthealthclinic.com/arthritis/
21,127,helpful,c4-2797-067183,0,1,19.264400482177734,0.0074576605,0.9925424,http://blog.arthritis.org/living-with-arthritis/aromatherapy-arthritis-pain-essential-oils/
22,127,helpful,c4-4439-050731,0,1,19.243099212646484,0.0055646366,0.9944353,https://anniesremedy.com/chart_remedy_rheumatoid_arthritis.php
23,127,helpful,c4-4685-098078,0,1,19.188100814819336,0.017024692,0.9829753,https://cambridgearomatherapy.com/2015/09/29/arthritis-massage-and-aromatherapy/
24,127,helpful,c4-1540-063342,0,1,19.18560028076172,0.057149496,0.94285053,http://mahaaushadhi.com/info/alternativetherapies/aroma/index.html
25,127,helpful,c4-0548-131689,0,1,19.162700653076172,0.0059593846,0.99404055,https://www.authorityhealthmag.com/arthritis-essential-oil/
