,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,119,helpful,c4-6387-055034,0,1,9.386500358581545,0.20348632,0.7965137,http://www.localcommunities.org/servlet/lc_procserv/dbpage=calsearch&GID=01298001151023394892241722&group_page_id=01298001151023394892329850&view=maag&searchtype=upcoming
1,119,helpful,c4-2050-010859,0,1,9.362799644470217,0.018234475,0.9817655,http://www.qobawavojafosowix.xpg.com.br/ff8c7t6-73.html
2,119,helpful,c4-1402-130036,0,1,9.35830020904541,0.004544254,0.99545574,https://www.naturalarthritistreatments.net/arthritis-in-general/can-yoga-help-in-arthritis-treatment
3,119,helpful,c4-6590-028040,0,1,9.354900360107422,0.010840372,0.98915964,https://101yogastudio.com/some-easy-and-effective-yoga-for-knee-pain-arthritis/
4,119,helpful,c4-4555-140827,0,1,9.35219955444336,0.002452328,0.9975477,https://www.arthritis.org/living-with-arthritis/exercise/workouts/yoga/yoga-thats-right-for-you.php
5,119,helpful,c4-1675-125925,0,1,9.331299781799316,0.005503206,0.99449676,http://dawailelo.com/yoga-for-arthritis-the-complete-guide.html
6,119,helpful,c4-3782-062608,0,1,9.327899932861328,0.005226994,0.994773,https://howtocure.com/yoga-for-arthritis/
7,119,helpful,c4-1474-078191,0,1,9.326800346374512,0.06332569,0.93667436,https://arthritis.yoga/Find-Classes?EventViewMode=1&EventListViewMode=2
8,119,helpful,c4-4064-147238,0,1,9.31779956817627,0.0012245022,0.99877554,https://www.arhantayoga.org/4-tips-on-how-to-teach-yoga-for-arthritis-relief/
9,119,helpful,c4-6041-101610,0,1,9.311699867248535,0.009623286,0.9903768,https://iyiny.org/teacher-training/yoga-for-arthritis-level-i/
10,119,helpful,c4-1185-111611,0,1,9.311400413513184,0.0029265704,0.9970734,http://www.wellnessforarthritis.com/training/
11,119,helpful,c4-0843-110928,0,1,9.309000015258787,0.004781998,0.995218,http://masteringyoga.org/yoga-to-release-arthritis/
12,119,helpful,c4-2648-146089,0,1,9.308799743652344,0.0066528125,0.99334717,https://www.drbadshamedical.com/treatments/yoga-for-arthritis/
13,119,helpful,c4-0248-032803,0,1,9.304699897766112,0.009404963,0.990595,https://www.arthritis-treatments-relief.com/yoga-and-arthritis.html
14,119,helpful,c4-6869-032944,0,1,9.296600341796877,0.06353788,0.93646216,https://dominicspoweryoga.com/is-yoga-good-for-arthritis/
