,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,7,unhelpful,c4-1334-139339,0,1,16.911300659179688,0.24244925,0.7575508,https://bmcneurol.biomedcentral.com/articles/10.1186/1471-2377-12-3
1,7,unhelpful,c4-4180-098568,0,0,16.787799835205078,0.8240413,0.17595868,https://medtrend.org/stroke-doubles-dementia-risk-study-discovers/
2,7,unhelpful,c4-1234-054696,0,1,16.6781005859375,0.010365608,0.9896344,http://www.alliedacademies.org/articles/observation-of-clinical-effect-of-aspirin-combined-with-oxiracetam-in-vascular-cognitive-impairment-7985.html
3,7,unhelpful,c4-0510-006646,0,0,16.422199249267578,0.9638417,0.036158282,https://www.metagenicsinstitute.com/articles/debunking-headlines-new-aspirin-study-aspree/
4,7,unhelpful,c4-5372-034177,0,0,16.36680030822754,0.9937815,0.0062184925,https://www.medscape.com/viewarticle/902056?src=wnl_edit_tpal&uac=138277AZ&impID=1740646&faf=1
5,7,unhelpful,c4-6168-003742,0,0,16.339799880981445,0.5549753,0.44502473,https://journals.heart.org/bloggingstroke/2016/06/
6,7,unhelpful,c4-1667-054540,0,1,16.2539005279541,0.4558375,0.5441625,https://www.pharmaceutical-journal.com/learning/learning-article/new-uses-for-old-drugs-aspirin-the-first-miracle-drug/20004121.article?firstPass=false
7,7,unhelpful,c4-5515-082947,0,1,16.066200256347656,0.45840082,0.5415992,https://mentalhealthfoundation.org/health-conditions/cognitive-disorders/multi-infarct-dementia/
8,7,unhelpful,c4-0816-030904,0,0,16.035499572753906,0.9957218,0.0042781555,https://www.healthdirect.gov.au/vascular-dementia
9,7,unhelpful,c4-2795-031375,0,1,15.728500366210938,0.016653182,0.9833468,https://www.elderconsult.com/dementia-medications
10,7,unhelpful,c4-2338-058014,0,0,15.716699600219728,0.91211635,0.08788362,https://en.wikipedia.org/wiki/Prevention_of_dementia
11,7,unhelpful,c4-0780-075959,0,0,15.689800262451172,0.83752024,0.16247974,https://oxfordbrc.nihr.ac.uk/one-dose-of-aspirin-doesnt-fit-all/
12,7,unhelpful,c4-2088-074776,0,0,15.682600021362305,0.5981152,0.40188482,http://medical-dictionary.thefreedictionary.com/vascular+death
13,7,unhelpful,c4-1431-044051,0,1,15.656200408935549,0.498989,0.501011,http://neurology.health-cares.net/vascular-dementia-treatments.php
14,7,unhelpful,c4-7085-043190,0,0,15.651100158691406,0.9801824,0.019817524,https://www.acc.org/latest-in-cardiology/clinical-trials/2018/09/16/21/55/aspree
15,7,unhelpful,c4-1391-113314,0,1,15.61110019683838,0.14219835,0.8578017,https://nadrc.acl.gov/guides-and-presentations
16,7,unhelpful,c4-4910-031765,0,0,15.577199935913086,0.9012997,0.098700285,http://cmhealthfoundation.org/tag/aspirin/
17,7,unhelpful,c4-2468-125961,0,0,15.57260036468506,0.8346082,0.1653918,https://www.ndcn.ox.ac.uk/news/search?category=stroke-dementia
18,7,unhelpful,c4-5069-077349,0,0,15.558799743652344,0.8098493,0.1901507,https://pharmaceuticalintelligence.com/2018/09/24/the-promise-of-low-dose-aspirin-on-longevity-in-the-geriatric-population-no-effect-on-outcomes-in-the-us-and-australia/
