,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,70,helpful,c4-6050-135052,0,1,14.338899612426758,0.2591239,0.7408761,https://www.patientslikeme.com/conditions/osteoarthritis
1,70,helpful,c4-0493-075777,0,1,14.251099586486816,0.23478283,0.7652172,https://mavendoctors.io/theraconnection/osteoarthritis/tylenol-acetaminophen-treatment-of-osteoporosis-and-other-conditions-XEU0W3_jZUqkyzeoVqS6YQ/
2,70,helpful,c4-4056-100590,0,0,14.202799797058104,0.9989517,0.0010483,https://www.achieveclinical.com/news/treating-oa-pain-acetaminophen-work/
3,70,helpful,c4-1361-142476,0,0,14.196800231933594,0.5427149,0.45728514,https://www.practicalpainmanagement.com/patient/conditions/osteoarthritis/nsaids-over-acetaminophen-arthritis-pain
4,70,helpful,c4-7093-117292,0,0,14.162099838256836,0.9859175,0.014082564,https://myorthoevidence.com/Search/?SearchTerm=Acetaminophen
5,70,helpful,c4-6147-073577,0,0,14.119799613952637,0.9896492,0.0103508225,https://www.saanichtonphysio.com/1112/
6,70,helpful,c4-4924-069285,0,1,14.097100257873535,0.42145026,0.57854974,http://pharmapdf.com/d/donausa.com1.html
7,70,helpful,c4-5444-093989,0,1,14.093700408935549,0.06717556,0.9328244,https://www.clinicaltrials.gov/ct2/show/NCT01063842?term=TRAMADOL&amp;rank=57
8,70,helpful,c4-4845-046924,0,1,14.059900283813477,0.27579194,0.72420806,https://www.arthritis-relief-naturally.com/acetaminophen-for-arthritis.html
9,70,helpful,c4-1240-074561,0,1,14.024999618530272,0.017237341,0.9827627,http://birthplacee.ga/difu/panadol-joint-extended-relief-lyh.php
10,70,helpful,c4-4549-093036,0,1,14.024200439453123,0.005190949,0.99480903,http://www.abouthealthing.com/searching-osteoarthritis-pain-relief/
11,70,helpful,c4-2470-050581,0,1,14.005900382995604,0.0048595476,0.99514043,https://www.aafp.org/afp/2005/0101/p154a.html
12,70,helpful,c4-4716-088244,0,1,13.985799789428713,0.039694693,0.96030533,https://consumer.healthday.com/espanol/encyclopedia/arthritis-3/arthritis-management-news-40/osteoarthritis-647272.html
13,70,helpful,c4-1217-063840,0,1,13.975199699401855,0.3679534,0.6320466,https://www.meritashealth.com/home/resources/healthwise-document-viewer/?id=hw125331
14,70,helpful,c4-6551-107911,0,0,13.969300270080566,0.7059038,0.29409617,https://scholars.duke.edu/display/pub1146341
15,70,helpful,c4-0043-087085,0,0,13.955699920654297,0.9915537,0.008446314,https://purechiropractic4u.com/chiropractic/eatonton-chiropractor/the-limits-of-tylenol-for-back-pain-relief/
16,70,helpful,c4-2287-008149,0,0,13.951800346374512,0.68056387,0.31943613,https://arthritis-research.biomedcentral.com/articles/10.1186/ar2462
17,70,helpful,c4-2684-080306,0,0,13.941200256347656,0.79219145,0.20780852,https://www.achieveclinical.com/news/best-painkillers-osteoarthritis/
18,70,helpful,c4-6784-044982,0,1,13.923800468444824,0.102687076,0.89731294,https://osteoarthritisblog.com/category/osteo-arthritis-treatment-option/drugs/
19,70,helpful,c4-4839-117861,0,0,13.898599624633787,0.91899717,0.081002854,https://www.glutathionediseasecure.com/osteoarthritis-pain-cure.html
20,70,helpful,c4-5827-051935,0,1,13.891799926757812,0.010041437,0.9899586,https://www.clinicaltrials.gov/ct2/show/NCT00635349?term=TRAMADOL&amp;rank=97
21,70,helpful,c4-5439-047931,0,1,13.885199546813965,0.36946645,0.6305335,https://www.lmh.org/wellness/health-library/document-viewer/?id=hw125331
22,70,helpful,c4-1390-015582,0,1,13.881999969482422,0.14861801,0.851382,https://www.genesishcs.org/patients-visitors/health-library/healthwise-document-viewer/?id=hw125331
23,70,helpful,c4-1572-009378,0,0,13.851400375366213,0.73592454,0.2640755,https://www.adventisthealthcare.com/health/library/topic/?id=hw125331
24,70,helpful,c4-1864-012690,0,0,13.851399421691896,0.6139312,0.38606882,http://dobbsferrypharmacy.com/PatientPortal/MyPractice.aspx?UAID=C02C9140-EE45-4012-81AE-26B3E0C445ED&ID=HW5hw125331&Title=Osteoarthritis-Acetaminophen-for
25,70,helpful,c4-2063-093029,0,0,13.851398468017578,0.6139312,0.38606882,http://dobbsferrypharmacy.com/PatientPortal/MyPractice.aspx?UAID=C02C9140-EE45-4012-81AE-26B3E0C445ED&ID=HW5hw125331&Title=Acetaminophen-for-Osteoarthritis
